,pos,vel,angle,depth,width,res-force
114,1.0,14.71194,1.43789,3.15523,3.0,60152.12536705258
115,1.0,14.72515,0.9968,2.44469,3.0,76746.23827309933
116,1.0,14.75335,0.5191,4.58112,2.0,88812.46792100463
117,1.0,14.75815,2.41788,4.21984,1.0,51958.808429061675
118,1.0,14.76415,2.86557,3.01,1.0,47957.229974174516
119,1.0,14.78396,2.85057,2.18304,3.0,48134.18528349545
120,1.0,14.79296,0.59592,2.87918,3.0,86876.3249351521
121,1.0,14.82236,2.77075,3.26625,3.0,50389.52937631968
122,1.0,14.82416,2.03861,4.0134,3.0,56272.11452061663
123,1.0,14.85837,1.996,4.94479,3.0,57392.601125559646
124,1.0,14.86317,1.79076,4.4893,2.0,59849.82865278398
125,1.0,14.87037,2.30686,3.14203,2.0,52522.62214089658
126,1.0,14.91598,1.5243,2.54431,2.0,61507.552314731896
127,1.0,14.91778,2.83677,4.71434,2.0,49667.59789481148
128,1.0,14.91838,1.44509,4.04701,2.0,63944.8272436885
129,1.0,14.93159,1.89158,3.77636,2.0,58814.367907144195
130,1.0,14.95439,1.02741,3.0208,2.0,71426.371904523
131,1.0,14.9964,0.94099,2.93499,2.0,71760.1262105214
132,10.0,12.09002,2.02,3.29686,2.0,52692.94660930944
133,10.0,12.09542,1.71814,2.9944,3.0,53985.95663212656
134,10.0,12.12843,2.36207,2.03181,3.0,51376.54004928672
135,10.0,12.13563,0.82517,3.35387,2.0,70521.76520685547
136,10.0,12.15903,0.11582,3.14863,3.0,101328.61600525583
137,10.0,12.19384,1.5129,2.4819,3.0,58140.43415909164
138,10.0,12.19984,1.36407,2.46029,2.0,60004.33025524501
139,10.0,12.27125,2.55291,4.30266,2.0,52810.14932596417
140,10.0,12.29646,0.05281,4.30806,2.0,104390.2046263878
141,10.0,12.34927,0.85997,2.03961,1.0,75785.70669978452
142,10.0,12.35047,0.64213,2.08102,1.0,85744.1023747965
143,10.0,12.37628,0.38288,3.69714,3.0,84529.28199697884
144,10.0,12.39068,1.04061,2.61932,3.0,71920.79142502544
145,10.0,12.41648,0.75435,3.57952,3.0,76945.44993694183
146,10.0,12.46569,2.27926,3.19424,1.0,51430.15480251658
147,10.0,12.46629,1.022,4.41248,1.0,74694.25229307571
148,10.0,12.4753,2.20364,3.58792,3.0,54806.38041814148
149,10.0,12.5065,1.34727,2.16443,3.0,64619.97808105587
150,10.0,12.53891,2.54631,3.71994,1.0,52059.6727594344
151,10.0,12.55031,1.41448,4.09622,3.0,62548.05858544513
152,10.0,12.58512,1.36527,3.36047,1.0,66949.91405246685
153,10.0,12.60372,0.9872,3.75475,3.0,73030.51981747129
154,10.0,12.61632,0.92839,4.71314,3.0,70266.48436279934
155,10.0,12.69794,2.56551,2.08042,3.0,52349.47945275872
156,10.0,12.70694,1.11322,2.13263,1.0,69365.4395432445
157,10.0,12.71894,1.45649,4.0008,2.0,62049.20469945987
158,10.0,12.72254,1.9912,2.24665,1.0,54216.42022015813
159,10.0,12.73395,0.91158,3.42168,2.0,74786.35263354643
160,10.0,12.74055,2.005,4.005,1.0,54303.64707094385
161,10.0,12.74175,2.85177,2.87678,3.0,53651.770947326615
162,10.0,12.74655,2.24865,3.73795,1.0,52366.091139177
163,10.0,12.77115,2.9994,2.55511,2.0,53231.19239737283
164,10.0,12.78856,1.69054,3.75535,1.0,57602.7551290916
165,10.0,12.87317,2.81816,4.08842,1.0,50743.563771310684
166,10.0,12.88458,2.20724,2.60072,1.0,50535.53300498766
167,10.0,12.89658,1.9816,3.36227,3.0,52536.34797055745
168,10.0,13.0088,2.39268,4.04341,2.0,52154.71021371476
169,10.0,13.04301,2.54931,4.42869,3.0,52373.1521467595
170,10.0,13.13363,1.58312,2.30906,2.0,59012.39384069327
171,10.0,13.14863,2.57812,2.06181,2.0,51500.899244422355
172,10.0,13.16783,2.79476,3.23385,1.0,52456.828241312716
173,10.0,13.17443,1.17323,4.07341,3.0,69345.51363936959
174,10.0,13.20144,1.16363,3.95999,2.0,72110.65518745055
175,10.0,13.25305,0.14703,2.96439,1.0,104836.4225014945
176,10.0,13.26085,0.42248,3.84477,2.0,85704.71750427176
177,10.0,13.28306,1.5147,2.04381,1.0,63871.956337374315
178,10.0,13.31006,2.21984,4.20784,1.0,54476.460202689006
179,10.0,13.31366,1.20144,3.85077,2.0,71623.85128005942
180,10.0,13.37007,0.23825,4.65793,3.0,88820.08607648988
181,10.0,13.37307,0.46209,3.38628,3.0,83721.42825092433
182,10.0,13.37367,0.5113,4.03681,3.0,81782.37386790183
183,10.0,13.38508,2.26845,2.67453,3.0,56230.523256555425
184,10.0,13.42228,2.79896,4.42749,2.0,55727.79244746183
185,10.0,13.42709,1.10782,3.10422,1.0,70556.0945040845
186,10.0,13.43489,0.9938,2.91758,2.0,75164.14005596822
187,10.0,13.43849,2.05481,2.63913,3.0,52359.35566447145
188,10.0,13.44329,1.74935,4.9796,1.0,56234.56368947895
189,10.0,13.45589,0.42549,2.07742,3.0,89161.61247664862
190,10.0,13.46009,1.03701,3.08202,3.0,74313.7008220572
191,10.0,13.47449,2.41908,2.40208,2.0,52762.65216045664
192,10.0,13.4979,1.22665,3.28126,3.0,69282.58458809354
193,10.0,13.5075,2.03141,3.88918,2.0,55763.10815254467
194,10.0,13.53751,2.85537,2.57972,2.0,49603.69799582421
195,10.0,13.55731,0.4981,2.73875,1.0,97882.64990699803
196,10.0,13.58732,0.80416,2.4783,1.0,76871.9678548139
197,10.0,13.60352,2.77976,4.42989,1.0,51390.937020074816
198,10.0,13.62573,1.27646,4.0086,3.0,67531.3627211429
199,10.0,13.63833,0.0084,3.22004,3.0,95795.65815261031
200,10.0,13.69654,2.62973,4.82837,1.0,51442.425877156405
201,10.0,13.72895,0.19984,3.62452,2.0,99945.09381592086
202,10.0,13.78896,0.86777,2.73515,1.0,76884.40963818994
203,10.0,13.79496,0.21724,2.4999,3.0,98975.93430686626
204,10.0,13.80756,1.14683,2.19444,2.0,71329.31812890402
205,10.0,13.84777,0.44589,3.92699,1.0,96478.76562340785
206,10.0,13.86577,0.04201,3.68814,2.0,92928.70450037693
207,10.0,13.89218,0.27185,2.15903,1.0,108256.76443472884
208,10.0,13.92278,1.47449,2.68294,2.0,62308.00751855589
209,10.0,13.9876,0.44109,2.41528,3.0,91624.188079669
210,10.0,14.0182,1.35567,2.94999,1.0,69036.74509711808
211,10.0,14.02541,2.34167,4.73115,1.0,54826.49774004403
212,10.0,14.02781,2.5067,4.02661,3.0,50230.89177893099
213,10.0,14.04101,0.83357,3.83277,3.0,73789.31600528258
214,10.0,14.05781,0.67574,3.25965,3.0,73336.71344972955
215,10.0,14.06621,0.92118,4.34047,3.0,74063.3518432008
216,10.0,14.07762,1.96539,3.86757,2.0,55872.734619844836
217,10.0,14.10402,2.57271,3.88378,1.0,49316.65464200494
218,10.0,14.11422,1.81656,4.85657,2.0,55594.2631653294
219,10.0,14.12442,1.32206,4.5013,2.0,69834.22874525217
220,10.0,14.13883,2.71674,4.15563,3.0,54755.10120867646
221,10.0,14.16883,1.13483,4.69214,2.0,73998.81996516071
222,10.0,14.19824,1.77696,3.10122,1.0,56914.88155121031
223,10.0,14.19944,2.58772,4.83137,3.0,49978.52250502407
224,10.0,14.21504,2.10822,4.05121,2.0,56153.59435004512
225,10.0,14.21624,2.9934,3.23265,1.0,51508.16025406122
226,10.0,14.22044,1.5237,2.66793,2.0,65285.18145100896
227,10.0,14.23605,0.4861,4.60392,2.0,83993.95085839459
228,10.0,14.23905,2.60872,2.25625,1.0,49220.66031023871
229,10.0,14.24805,1.70734,4.52891,2.0,56038.887340711015
230,10.0,14.25465,1.56691,3.77215,1.0,65181.03122877186
231,10.0,14.25765,0.73935,3.20024,2.0,76972.73721873826
232,10.0,14.29546,2.05181,4.77976,2.0,56748.97491077783
233,10.0,14.30746,0.40328,3.09882,3.0,88688.80313795194
234,10.0,14.33567,0.77956,3.60592,3.0,77113.19670894525
235,10.0,14.35007,2.11062,4.68434,1.0,54081.86919187584
236,10.0,14.38368,1.91918,2.81916,2.0,53780.179826806125
237,10.0,14.40348,0.07261,3.29806,1.0,117127.01192038874
238,10.0,14.44249,2.08422,2.52931,2.0,54020.18651482845
239,10.0,14.45269,0.4993,3.55851,2.0,86277.1442427797
240,10.0,14.4989,2.33327,2.62653,3.0,52405.85461099769
241,10.0,14.58772,0.44649,2.52511,2.0,90576.46249781556
242,10.0,14.60992,2.69454,2.38468,2.0,50225.07522727759
243,10.0,14.61352,2.25825,4.91478,2.0,55240.76226853985
244,10.0,14.61712,0.009,2.69074,2.0,105098.95168704362
245,10.0,14.63933,1.82136,4.24025,3.0,58985.907581630614
246,10.0,14.64473,0.37267,4.40708,2.0,84976.91882902924
247,10.0,14.66933,1.27345,2.29406,1.0,68861.71359070811
248,10.0,14.67053,0.78676,3.62753,1.0,80216.67781745929
249,10.0,14.67113,1.66953,4.11182,3.0,61344.866534085675
250,10.0,14.67413,1.90538,2.97399,3.0,58237.389638152636
251,10.0,14.69694,0.23105,3.86997,1.0,106072.74798690737
252,10.0,14.76955,2.55891,4.39148,2.0,50251.9859455079
253,10.0,14.77075,0.91098,4.4989,3.0,68298.80940451147
254,10.0,14.81096,1.4787,4.66753,2.0,61873.2484017799
255,10.0,14.85897,2.54991,3.26805,3.0,50386.51188476969
256,10.0,14.91238,1.94019,3.23025,2.0,57833.876876624214
257,10.0,14.91358,2.69694,2.73155,3.0,51325.60093566834
258,10.0,14.92679,2.72034,4.18624,2.0,54260.076424891005
259,10.0,14.92739,2.06201,4.5211,1.0,54986.727952944486
260,10.0,14.94959,1.95219,2.74475,1.0,57663.8215757152
261,10.0,14.96519,1.87357,3.64013,2.0,57009.11321819635
262,10.0,14.97059,1.5027,2.33307,3.0,65950.0901239284
263,10.0,14.976,0.85877,3.77936,1.0,78712.25191090189
264,11.0,12.0114,2.16643,3.66053,3.0,54255.211036663386
265,11.0,12.02581,0.94639,2.44829,1.0,72172.92935996088
266,11.0,12.06301,1.30826,4.53311,1.0,60023.45815449396
267,11.0,12.09422,2.33507,2.17103,1.0,52545.24374516141
268,11.0,12.11042,0.40508,4.68794,2.0,82284.15033406227
269,11.0,12.18364,0.24845,3.09702,1.0,104537.58932851155
270,11.0,12.20044,0.04081,3.73435,3.0,104183.64193386899
271,11.0,12.20224,0.56411,4.11482,3.0,69093.15006290452
272,11.0,12.20524,0.5137,2.09242,2.0,77615.15332384089
273,11.0,12.23105,0.23765,2.06721,2.0,94249.93380536568
274,11.0,12.29946,1.69174,3.95939,2.0,55326.25197373473
275,11.0,12.33427,1.5213,4.14243,1.0,57230.05534535586
276,11.0,12.35647,1.55611,2.71774,2.0,55349.728041310445
277,11.0,12.36907,2.27145,3.17984,3.0,52385.097589850935
278,11.0,12.37267,1.33467,4.30926,2.0,62671.809910100725
279,11.0,12.45069,2.58952,2.80896,2.0,52165.125391255424
280,11.0,12.45369,2.5247,4.24625,3.0,51435.3602521699
281,11.0,12.46989,0.70214,4.07942,2.0,73093.50749218586
282,11.0,12.5017,0.16203,2.12062,1.0,109149.6332621638
283,11.0,12.65593,1.94379,3.39108,2.0,53715.62084580411
284,11.0,12.70154,2.31766,4.68554,3.0,53075.10661542492
285,11.0,12.72374,1.46249,4.20724,1.0,62442.1678386724
286,11.0,12.74835,0.12302,3.39648,3.0,98622.77374391198
287,11.0,12.78376,2.78036,3.81956,3.0,50626.76320636797
288,11.0,12.79636,0.25385,4.06501,2.0,97774.97376410868
289,11.0,12.83477,2.9784,4.71194,2.0,53401.26410380442
290,11.0,12.84857,1.22004,4.66993,3.0,67963.74749154269
291,11.0,12.86417,2.65853,2.41468,1.0,51704.183382003925
292,11.0,12.86657,1.31906,2.46389,2.0,62770.232832489804
293,11.0,13.016,1.92398,3.63353,1.0,54053.42667842769
294,11.0,13.0232,0.12543,3.77696,1.0,107617.18625191861
295,11.0,13.09882,1.21104,3.19904,2.0,69844.68007095768
296,11.0,13.17203,1.15043,3.07121,2.0,72892.48870910684
297,11.0,13.17383,2.60572,4.45329,3.0,51795.2900557994
298,11.0,13.19184,2.14663,4.5235,2.0,55658.3148502717
299,11.0,13.20204,2.06861,3.27225,2.0,53026.28666475694
300,11.0,13.28786,1.60832,3.82977,2.0,57967.805614540186
301,11.0,13.29086,0.22505,2.33487,3.0,95124.02169314999
302,11.0,13.29866,0.10742,4.38248,2.0,101636.00191067788
303,11.0,13.30226,0.75135,4.57451,2.0,74221.36909075221
304,11.0,13.35687,1.33347,3.31726,2.0,67779.09770927652
305,11.0,13.36947,1.43909,2.35707,1.0,66670.568359086
306,11.0,13.37968,0.71594,4.53911,2.0,77616.80914001506
307,11.0,13.38688,0.44169,4.59492,1.0,88058.96069855601
308,11.0,13.41088,0.35227,3.0046,1.0,93503.61710445977
309,11.0,13.41628,2.97179,2.29286,2.0,52952.911184864155
310,11.0,13.42889,0.5131,3.33467,1.0,91293.61948166815
311,11.0,13.43369,0.55991,3.46669,2.0,85523.04649172434
312,11.0,13.43789,2.5037,2.35227,2.0,50138.22290359858
313,11.0,13.44689,0.19624,4.14423,1.0,102348.10719013974
314,11.0,13.46489,0.54431,4.92198,3.0,82995.57017670425
315,11.0,13.4901,2.96699,2.33127,2.0,52534.03484711169
316,11.0,13.5015,1.30046,4.78996,3.0,68244.02709103227
317,11.0,13.5123,1.41928,2.19324,1.0,63634.113325283615
318,11.0,13.5129,1.27586,2.72074,2.0,66096.19546739024
319,11.0,13.5201,0.20884,2.11822,2.0,104905.20988649155
320,11.0,13.59872,1.59212,3.41028,2.0,62463.643550690176
321,11.0,13.60472,1.0028,4.71914,2.0,72987.41869075196
322,11.0,13.61552,0.20044,2.4921,3.0,102416.24499616989
323,11.0,13.66833,0.29046,4.76115,2.0,89680.59710511724
324,11.0,13.68994,0.55871,3.86817,2.0,85637.21260093251
325,11.0,13.72054,2.988,3.69174,3.0,52519.97369318601
326,11.0,13.73195,2.11842,2.07441,3.0,54182.03288465367
327,11.0,13.75895,0.79816,4.79536,2.0,67862.95453341896
328,11.0,13.79076,1.85197,2.9866,1.0,56528.3845044567
329,11.0,13.79556,0.80896,2.13563,3.0,72954.46839017987
330,11.0,13.80156,1.92038,4.39448,2.0,54296.494456374065
331,11.0,13.80216,0.12422,4.80856,3.0,91925.97411175114
332,11.0,13.81116,2.5241,2.59892,1.0,51774.11948664854
